keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
list from wikipedia	0.0000000000	0.0	0.0	0.0	1.58496250072	False
encyclopedia this article	0.0000000000	0.0	0.0	0.0	1.58496250072	False
includes a list	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list of references	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sources remain unclear	0.0000000000	0.0	0.0	0.0	1.58496250072	False
insufficient inline citations	0.0000000000	0.0	0.0	0.0	1.58496250072	False
improve this article	0.0000000000	0.0	0.0	0.0	1.58496250072	False
article by introducing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
introducing more precise	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data structure consisting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
group of nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
represent a sequence	0.0000000000	0.0	0.0	0.0	1.58496250072	False
node is composed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
composed of data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
complex variants add	0.0000000000	0.0	0.0	0.0	1.58496250072	False
variants add additional	0.0000000000	0.0	0.0	0.0	1.58496250072	False
add additional links	0.0000000000	0.0	0.0	0.0	1.58496250072	False
links this structure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
insertion or removal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
removal of elements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequence a linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list whose nodes	0.0000000000	0.0	0.0	4.99813316739	4.75488750216	False
node the last	0.0000000000	0.0	0.0	0.0	1.58496250072	False
node is linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signify the end	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list linked lists	0.0000000000	0.0	0.0	0.0	1.58496250072	False
common data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
common abstract data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract data types	0.0000000000	0.0	0.0	0.0	3.16992500144	False
abstract data type	0.0000000000	0.0	0.0	1.99813316739	4.75488750216	False
uncommon to implement	0.0000000000	0.0	0.0	0.0	1.58496250072	False
basis of implementation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implementation the principal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
easily be inserted	0.0000000000	0.0	0.0	0.0	1.58496250072	False
inserted or removed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
removed without reallocation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reallocation or reorganization	0.0000000000	0.0	0.0	0.0	1.58496250072	False
contiguously in memory	0.0000000000	0.0	0.0	0.0	3.16992500144	False
compiling and running	0.0000000000	0.0	0.0	0.0	1.58496250072	False
running the program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program linked lists	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lists allow insertion	0.0000000000	0.0	0.0	0.0	1.58496250072	False
insertion and removal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
removal of nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of operations	0.0000000000	0.0	0.0	0.0	3.16992500144	False
link being added	0.0000000000	0.0	0.0	0.0	1.58496250072	False
added or removed	0.0000000000	0.0	0.0	0.0	3.16992500144	False
removed is maintained	0.0000000000	0.0	0.0	0.0	1.58496250072	False
maintained during list	0.0000000000	0.0	0.0	0.0	1.58496250072	False
simple linked lists	0.0000000000	0.0	0.0	0.0	1.58496250072	False
form of efficient	0.0000000000	0.0	0.0	0.0	1.58496250072	False
obtaining the last	0.0000000000	0.0	0.0	0.0	1.58496250072	False
maintained as separate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
separate node reference	0.0000000000	0.0	0.0	0.0	1.58496250072	False
finding a node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
locating the place	0.0000000000	0.0	0.0	0.0	1.58496250072	False
inserted may require	0.0000000000	0.0	0.0	0.0	1.58496250072	False
require sequential scanning	0.0000000000	0.0	0.0	0.0	1.58496250072	False
elements the advantages	0.0000000000	0.0	0.0	0.0	1.58496250072	False
advantages and disadvantages	0.0000000000	0.0	0.0	0.0	1.58496250072	False
concepts and nomenclature	0.0000000000	0.0	0.0	0.0	3.16992500144	False
singly linked list	0.4838012959	0.0	0.0	12.9894212819	26.9443625123	False
doubly linked list	0.3636363636	0.0	0.0	15.990665837	23.7744375108	False
