keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
introduction to probability	0.5083639331	0.0	0.0	13.9993421792	64.9834625296	False
applications prof prabha	0.5081566069	0.0	0.0	11.9993582236	63.3985000288	False
prof prabha sharma	0.5081566069	0.0	0.0	11.9993582236	63.3985000288	False
prabha sharma department	0.5081566069	0.0	0.0	11.9993582236	63.3985000288	False
department of mathematics	0.5081566069	0.0	0.0	11.9993582236	63.3985000288	False
mathematics and statistics	0.5077424613	0.0	0.0	11.9993903124	60.2285750274	False
statistics indian institute	0.5081566069	0.0	0.0	11.9993582236	63.3985000288	False
institute of technology	0.5081566069	0.0	0.0	11.9993582236	63.3985000288	False
principles of counting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
utter the word	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sound very familiar	0.0000000000	0.0	0.0	0.0	1.58496250072	False
feel very comfortable	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computing the probability	0.4601954135	0.0	0.0	8.99982351148	17.4345875079	False
basically probability theory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
theory is estimating	0.0000000000	0.0	0.0	0.0	1.58496250072	False
estimating the possibility	0.0000000000	0.0	0.0	0.0	3.16992500144	False
possibility of outcome	0.0000000000	0.0	0.0	0.0	1.58496250072	False
probable the event	0.0000000000	0.0	0.0	0.0	1.58496250072	False
done by counting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
giving you axioms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
axioms of probability	0.4385779655	0.0	0.0	7.99988768912	11.094737505	False
concepts of counting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
chosen as mother	0.0000000000	0.0	0.0	0.0	1.58496250072	False
mother and child	0.0000000000	0.0	0.0	0.0	3.16992500144	False
number of possibilities	0.0000000000	0.0	0.0	0.0	1.58496250072	False
choosing the mother	0.0000000000	0.0	0.0	0.0	3.16992500144	False
appointed or chosen	0.0000000000	0.0	0.0	0.0	1.58496250072	False
chosen the mother	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of choices	0.0000000000	0.0	0.0	2.99995186677	4.75488750216	False
sort of broke	0.0000000000	0.0	0.0	0.0	1.58496250072	False
call it event	0.0000000000	0.0	0.0	0.0	1.58496250072	False
event of choosing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
year by first	0.0000000000	0.0	0.0	0.0	1.58496250072	False
chose the mother	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sort of formulate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
principle of counting	0.4457163298	0.0	0.0	7.99987164471	12.6797000058	False
performed and experiment	0.0000000000	0.0	0.0	0.0	1.58496250072	False
experiment was choosing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
choosing the year	0.0000000000	0.0	0.0	0.0	1.58496250072	False
choose the mother	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first experiment results	0.0000000000	0.0	0.0	2.99995186677	4.75488750216	False
outcome of experiment	0.0000000000	0.0	0.0	0.0	3.16992500144	False
outcomes of experiment	0.0000000000	0.0	0.0	0.0	1.58496250072	False
understand this basic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
things become simple	0.0000000000	0.0	0.0	0.0	1.58496250072	False
define the concept	0.0000000000	0.0	0.0	0.0	3.16992500144	False
event can occur	0.0000000000	0.0	0.0	0.0	1.58496250072	False
generalize this concept	0.0000000000	0.0	0.0	0.0	1.58496250072	False
concept of counting	0.0000000000	0.0	0.0	2.99995186677	4.75488750216	False
generalized basic principle	0.0000000000	0.0	0.0	0.0	1.58496250072	False
start saying first	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first two experiments	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of outcomes	0.4173645073	0.0	0.0	4.99991977795	7.92481250361	False
principle of computing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
place license plates	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first four places	0.3336904124	0.0	0.0	3.99993582236	6.33985000288	False
occupied by letters	0.0000000000	0.0	0.0	0.0	1.58496250072	False
letters and last	0.0000000000	0.0	0.0	0.0	1.58496250072	False
four by numbers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
quoted the generalized	0.0000000000	0.0	0.0	0.0	1.58496250072	False
choosing the first	0.0000000000	0.0	0.0	0.0	1.58496250072	False
