keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
database management system	0.4771149423	0.0	0.0	33.9986324427	144.231587566	False
management system prof	0.5022658610	0.0	0.0	13.9998196628	19.0195500087	False
prof d janakiram	0.5020762552	0.0	0.0	13.9998346909	17.4345875079	False
department of computer	0.5082155139	0.0	0.0	13.9993537916	68.153387531	False
science & engineering	0.5074399084	0.0	0.0	13.999413904	61.8135375281	False
engineering indian institute	0.5082155139	0.0	0.0	13.9993537916	68.153387531	False
institute of technology	0.5084097859	0.0	0.0	13.9993387635	69.7383500317	False
introduction to database	0.0000000000	0.0	0.0	2.99995491569	4.75488750216	False
year under graduate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
systems probably operating	0.0000000000	0.0	0.0	0.0	1.58496250072	False
concepts are required	0.0000000000	0.0	0.0	0.0	1.58496250072	False
duration and expected	0.0000000000	0.0	0.0	0.0	1.58496250072	False
covering the transacting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
transacting processing system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
instructor dr srinath	0.0000000000	0.0	0.0	0.0	1.58496250072	False
covering the initial	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sections on database	0.0000000000	0.0	0.0	0.0	1.58496250072	False
design er modeling	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lecture is give	0.0000000000	0.0	0.0	0.0	1.58496250072	False
introduction to databases	0.0000000000	0.0	0.0	0.0	1.58496250072	False
databases and show	0.0000000000	0.0	0.0	0.0	1.58496250072	False
show the importance	0.0000000000	0.0	0.0	0.0	1.58496250072	False
importance of databases	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data in digital	0.0000000000	0.0	0.0	0.0	1.58496250072	False
mode of data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stored by corporates	0.0000000000	0.0	0.0	0.0	1.58496250072	False
organizations as increased	0.0000000000	0.0	0.0	0.0	1.58496250072	False
terabytes now databases	0.0000000000	0.0	0.0	0.0	1.58496250072	False
day today life	0.3576230169	0.0	0.0	4.99992485949	7.92481250361	False
lot of transactions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
day today transactions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
airline ticket reservation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reservation or withdrawal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
withdrawal of money	0.4004817826	0.0	0.0	1.99993988759	6.33985000288	False
store the costumer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
form of databases	0.0000000000	0.0	0.0	0.0	3.16992500144	False
transactions like withdrawal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
bank or reserving	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reserving a ticket	0.0000000000	0.0	0.0	2.99995491569	4.75488750216	False
business processing world	0.0000000000	0.0	0.0	0.0	1.58496250072	False
entity in terms	0.0000000000	0.0	0.0	0.0	3.16992500144	False
terms of developing	0.0000000000	0.0	0.0	2.99995491569	4.75488750216	False
developing these applications	0.0000000000	0.0	0.0	0.0	3.16992500144	False
business process applications	0.0000000000	0.0	0.0	0.0	1.58496250072	False
applications to show	0.0000000000	0.0	0.0	0.0	1.58496250072	False
show what kind	0.0000000000	0.0	0.0	0.0	1.58496250072	False
database have assumed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
assumed in recent	0.0000000000	0.0	0.0	0.0	1.58496250072	False
life i realized	0.0000000000	0.0	0.0	0.0	1.58496250072	False
realized only yesterday	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pay a premium	0.0000000000	0.0	0.0	0.0	3.16992500144	False
paying this policy	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lic actually sends	0.0000000000	0.0	0.0	0.0	1.58496250072	False
paper copy posted	0.0000000000	0.0	0.0	0.0	1.58496250072	False
paying the premium	0.0000000000	0.0	0.0	0.0	3.16992500144	False
carry the cash	0.0000000000	0.0	0.0	0.0	1.58496250072	False
physically now move	0.0000000000	0.0	0.0	0.0	1.58496250072	False
doing this transaction	0.0000000000	0.0	0.0	0.0	1.58496250072	False
access this data	0.0000000000	0.0	0.0	0.0	3.16992500144	False
pay the premium	0.0000000000	0.0	0.0	0.0	3.16992500144	False
box which means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
office without moving	0.0000000000	0.0	0.0	0.0	1.58496250072	False
