keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
brindha computer architecture	0.5012840267	0.0	0.0	5.99989755568	7.92481250361	False
computer architecture prof	0.5038719670	0.0	0.0	11.9994877784	39.624062518	False
architecture prof anshul	0.5038719670	0.0	0.0	11.999692667	23.7744375108	False
prof anshul kumar	0.5046535677	0.0	0.0	11.9996312004	28.529325013	False
anshul kumar department	0.5046535677	0.0	0.0	11.9994263118	44.3789500202	False
department of computer	0.5072765073	0.0	0.0	11.9994263118	44.3789500202	False
science and engineering	0.5046535677	0.0	0.0	11.9994263118	44.3789500202	False
engineering iit delhi	0.5046535677	0.0	0.0	10.999692667	23.7744375108	False
iit delhi lecture	0.5046535677	0.0	0.0	11.9994263118	44.3789500202	False
control for multi	0.0000000000	0.0	0.0	0.0	1.58496250072	False
multi cycle design	0.4566722815	1	0.0	6.99979511136	15.8496250072	False
processor where execution	0.0000000000	0.0	0.0	0.0	1.58496250072	False
instruction is divided	0.4006568144	0.0	0.0	2.99991804454	6.33985000288	False
divided into multiple	0.0000000000	0.0	0.0	0.0	3.16992500144	False
multiple clock cycles	0.0000000000	0.0	0.0	1.99993853341	4.75488750216	False
path is designed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
designed and today	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequence of lectures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
designing of processor	0.0000000000	0.0	0.0	0.0	1.58496250072	False
processor we started	0.0000000000	0.0	0.0	0.0	1.58496250072	False
instruction was done	0.0000000000	0.0	0.0	0.0	1.58496250072	False
single clock cycle	0.0000000000	0.0	0.0	0.0	1.58496250072	False
cycle we notice	0.0000000000	0.0	0.0	0.0	1.58496250072	False
notice the problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problem with performance	0.0000000000	0.0	0.0	0.0	1.58496250072	False
putting these sequences	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequences of actions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
build the flow	0.0000000000	0.0	0.0	0.0	1.58496250072	False
flow of control	0.5038719670	0.0	0.0	12.999692667	23.7744375108	False
control for carrying	0.0000000000	0.0	0.0	0.0	1.58496250072	False
out these instructions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
identify what control	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signals are required	0.0000000000	0.0	0.0	0.0	1.58496250072	False
required to control	0.0000000000	0.0	0.0	0.0	3.16992500144	False
control this data	0.0000000000	0.0	0.0	0.0	3.16992500144	False
steps for doing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
group the control	0.0000000000	0.0	0.0	0.0	3.16992500144	False
define some meaningful	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operations called micro	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set of micro	0.0000000000	0.0	0.0	0.0	1.58496250072	False
establishing a relationship	0.0000000000	0.0	0.0	0.0	1.58496250072	False
relationship between control	0.0000000000	0.0	0.0	0.0	3.16992500144	False
states um transit	0.0000000000	0.0	0.0	0.0	1.58496250072	False
complete the design	0.0000000000	0.0	0.0	0.0	1.58496250072	False
design of control	0.0000000000	0.0	0.0	1.99993853341	4.75488750216	False
data path last	0.0000000000	0.0	0.0	0.0	1.58496250072	False
memory register file	0.4175579704	0.0	0.0	2.99989755568	7.92481250361	False
file and alu	0.4006568144	0.0	0.0	1.99991804454	6.33985000288	False
out from memory	0.0000000000	0.0	0.0	0.0	3.16992500144	False
stored in instruction	0.0000000000	0.0	0.0	0.0	1.58496250072	False
register when data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data is read	0.0000000000	0.0	0.0	2.99989755568	7.92481250361	False
stored in data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operand from register	0.0000000000	0.0	0.0	0.0	1.58496250072	False
file are brought	0.0000000000	0.0	0.0	0.0	1.58496250072	False
out into registers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
results of alu	0.0000000000	0.0	0.0	0.0	1.58496250072	False
register called res	0.0000000000	0.0	0.0	2.99993853341	4.75488750216	False
short for result	0.0000000000	0.0	0.0	0.0	1.58496250072	False
change their states	0.0000000000	0.0	0.0	0.0	1.58496250072	False
multiplexer as usual	0.0000000000	0.0	0.0	0.0	1.58496250072	False
control for alu	0.0000000000	0.0	0.0	0.0	3.16992500144	False
