good article click::good article click
free encyclopedia python::free encyclopedia python
encyclopedia python python::encyclopedia python python
python python logo::python python logo
logo and wordmark.svg::logo and wordmark.svg
wordmark.svg paradigm multi-paradigm::wordmark.svg paradigm multi-paradigm
designed by guido::designed by guido
guido van rossum::guido van rossum
van rossum developer::van rossum developer
rossum developer python::rossum developer python
developer python software::developer python software
python software foundation::python software foundation
foundation first appeared::foundation first appeared
years ago stable::years ago stable
ago stable release::ago stable release
typing discipline duck::typing discipline duck
cross-platform license python::cross-platform license python
license python software::license python software
software foundation license::software foundation license
foundation license filename::foundation license filename
license filename extensions::license filename extensions
filename extensions .py::filename extensions .py
website www.python.org major::website www.python.org major
www.python.org major implementations::www.python.org major implementations
major implementations cpython::major implementations cpython
pypy dialects cython::pypy dialects cython
stackless python influenced::stackless python influenced
influenced by abc::influenced by abc
programming at wikibooks::programming at wikibooks
widely used general-purpose::widely used general-purpose
high-level programming language::high-level programming language
design philosophy emphasizes::design philosophy emphasizes
philosophy emphasizes code::philosophy emphasizes code
emphasizes code readability::emphasizes code readability
syntax allows programmers::syntax allows programmers
programmers to express::programmers to express
concepts in fewer::concepts in fewer
lines of code::lines of code
language provides constructs::language provides constructs
intended to enable::intended to enable
enable clear programs::enable clear programs
small and large::small and large
python supports multiple::python supports multiple
supports multiple programming::supports multiple programming
multiple programming paradigms::multiple programming paradigms
imperative and functional::imperative and functional
programming or procedural::programming or procedural
styles it features::styles it features
features a dynamic::features a dynamic
dynamic type system::dynamic type system
system and automatic::system and automatic
automatic memory management::automatic memory management
large and comprehensive::large and comprehensive
comprehensive standard library::comprehensive standard library
allowing python code::allowing python code
python code execution::python code execution
variety of systems::variety of systems
systems using third-party::systems using third-party
py2exe or pyinstaller::py2exe or pyinstaller
packaged into stand-alone::packaged into stand-alone
stand-alone executable programs::stand-alone executable programs
popular operating systems::popular operating systems
distribution of python-based::distribution of python-based
environments without requiring::environments without requiring
requiring the installation::requiring the installation
python interpreter cpython::python interpreter cpython
implementation of python::implementation of python
