keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
lists in chapter	0.0000000000	0.0	0.0	0.0	1.58496250072	False
disadvantages as data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data storage structures	0.0000000000	0.0	0.0	0.0	3.16992500144	False
searching is slow	0.0000000000	0.0	0.0	0.0	1.58496250072	False
insertion is slow	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds of arrays	0.0000000000	0.0	0.0	0.0	1.58496250072	False
deletion is slow	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data storage structure	0.0000000000	0.0	0.0	2.99870340357	6.33985000288	False
structure that solves	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problems the linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
linked list linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list linked lists	0.0000000000	0.0	0.0	0.0	1.58496250072	False
commonly used generalpurpose	0.0000000000	0.0	0.0	0.0	1.58496250072	False
generalpurpose storage structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures after arrays	0.0000000000	0.0	0.0	0.0	1.58496250072	False
arrays the linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
versatile mechanism suitable	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds of general	0.0000000000	0.0	0.0	0.0	1.58496250072	False
general purpose databases	0.0000000000	0.0	0.0	0.0	1.58496250072	False
replace an array	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stacks and queues	0.2327257312	0.0	0.0	9.99708265802	14.2646625065	False
queues in fact	0.0000000000	0.0	0.0	0.0	1.58496250072	False
frequent random access	0.0000000000	0.0	0.0	0.0	1.58496250072	False
access to individual	0.0000000000	0.0	0.0	0.0	1.58496250072	False
index linked lists	0.0000000000	0.0	0.0	0.0	1.58496250072	False
linked lists aren	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data storage problems	0.0000000000	0.0	0.0	0.0	1.58496250072	False
investigate their strengths	0.0000000000	0.0	0.0	0.0	1.58496250072	False
strengths and weaknesses	0.0000000000	0.0	0.0	0.0	1.58496250072	False
simple linked lists	0.0000000000	0.0	0.0	0.0	1.58496250072	False
doubly linked lists	0.4820017559	0.0	0.0	10.997082658	14.2646625065	False
lists with iterators	0.0000000000	0.0	0.0	0.0	1.58496250072	False
approach to random	0.0000000000	0.0	0.0	0.0	1.58496250072	False
access to list	0.0000000000	0.0	0.0	0.0	1.58496250072	False
examine the idea	0.0000000000	0.0	0.0	0.0	1.58496250072	False
idea of abstract	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract data types	0.4353687550	0.0	0.0	7.99708265802	14.2646625065	False
viewed as adts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implemented as linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
item is embedded	0.0000000000	0.0	0.0	0.0	1.58496250072	False
link a link	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list a field	0.0000000000	0.0	0.0	0.0	1.58496250072	False
link this relationship	0.0000000000	0.0	0.0	0.0	1.58496250072	False
relationship is shown	0.0000000000	0.0	0.0	0.0	1.58496250072	False
shown in figure	0.5076282940	0.0	0.0	5.9961102107	19.0195500087	False
linked lists linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lists linked list	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list first data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first data link	0.0000000000	0.0	0.0	0.0	1.58496250072	False
link next data	0.0000000000	0.0	0.0	2.99902755267	4.75488750216	False
link next null	0.0000000000	0.0	0.0	0.0	1.58496250072	False
link class link	0.0000000000	0.0	0.0	2.99870340357	6.33985000288	False
public int idata	0.5169491525	0.0	0.0	4.99870340357	6.33985000288	False
int idata data	0.5169491525	0.0	0.0	4.99870340357	6.33985000288	False
idata data public	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data public double	0.0000000000	0.0	0.0	0.0	1.58496250072	False
public double ddata	0.5169491525	0.0	0.0	4.99870340357	6.33985000288	False
double ddata data	0.5169491525	0.0	0.0	4.99870340357	6.33985000288	False
ddata data public	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data public link	0.0000000000	0.0	0.0	0.0	3.16992500144	False
link next reference	0.0000000000	0.0	0.0	0.0	3.16992500144	False
kind of class	0.0000000000	0.0	0.0	0.0	1.58496250072	False
