keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
collection of interrelated	0.0000000000	0.0	0.0	0.0	3.16992500144	False
set of programs	0.0000000000	0.0	0.0	0.0	3.16992500144	False
programs to access	0.0000000000	0.0	0.0	0.0	1.58496250072	False
access those data	0.0000000000	0.0	0.0	0.0	3.16992500144	False
data the collection	0.0000000000	0.0	0.0	0.0	1.58496250072	False
collection of data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
enterprise the primary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
store and retrieve	0.0000000000	0.0	0.0	0.0	1.58496250072	False
retrieve database information	0.0000000000	0.0	0.0	0.0	1.58496250072	False
convenient and efficient	0.0000000000	0.0	0.0	0.0	3.16992500144	False
efficient database systems	0.0000000000	0.0	0.0	0.0	1.58496250072	False
systems are designed	0.0000000000	0.0	0.0	0.0	3.16992500144	False
designed to manage	0.0000000000	0.0	0.0	0.0	3.16992500144	False
manage large bodies	0.0000000000	0.0	0.0	0.0	3.16992500144	False
bodies of information	0.0000000000	0.0	0.0	1.99876897825	4.75488750216	False
management of data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
involves both defining	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures for storage	0.0000000000	0.0	0.0	0.0	1.58496250072	False
storage of information	0.0000000000	0.0	0.0	0.0	1.58496250072	False
information and providing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
manipulation of information	0.0000000000	0.0	0.0	0.0	1.58496250072	False
information in addition	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system must ensure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ensure the safety	0.0000000000	0.0	0.0	0.0	1.58496250072	False
crashes or attempts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
attempts at unauthorized	0.0000000000	0.0	0.0	0.0	1.58496250072	False
access if data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system must avoid	0.0000000000	0.0	0.0	0.0	1.58496250072	False
avoid possible anomalous	0.0000000000	0.0	0.0	0.0	1.58496250072	False
results because information	0.0000000000	0.0	0.0	0.0	1.58496250072	False
scientists have developed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
developed a large	0.0000000000	0.0	0.0	0.0	1.58496250072	False
body of concepts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
concepts and techniques	0.0000000000	0.0	0.0	0.0	3.16992500144	False
techniques for managing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data these concepts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
form the focus	0.0000000000	0.0	0.0	0.0	1.58496250072	False
book this chapter	0.0000000000	0.0	0.0	0.0	1.58496250072	False
chapter briefly introduces	0.0000000000	0.0	0.0	0.0	1.58496250072	False
introduces the principles	0.0000000000	0.0	0.0	0.0	1.58496250072	False
principles of database	0.0000000000	0.0	0.0	0.0	1.58496250072	False
database-system applications databases	0.0000000000	0.0	0.0	0.0	1.58496250072	False
enterprise information sales	0.0000000000	0.0	0.0	0.0	1.58496250072	False
purchase information accounting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
accounting information human	0.0000000000	0.0	0.0	0.0	1.58496250072	False
information human resources	0.0000000000	0.0	0.0	0.0	1.58496250072	False
information about employees	0.0000000000	0.0	0.0	0.0	1.58496250072	False
generation of paychecks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
production of items	0.0000000000	0.0	0.0	0.0	1.58496250072	False
items in factories	0.0000000000	0.0	0.0	0.0	1.58496250072	False
inventories of items	0.0000000000	0.0	0.0	0.0	1.58496250072	False
inwarehouses and stores	0.0000000000	0.0	0.0	0.0	1.58496250072	False
orders for items	0.0000000000	0.0	0.0	0.0	1.58496250072	False
introduction online retailers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sales data noted	0.0000000000	0.0	0.0	0.0	1.58496250072	False
online order tracking	0.0000000000	0.0	0.0	0.0	1.58496250072	False
generation of recommendation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
maintenance of online	0.0000000000	0.0	0.0	0.0	1.58496250072	False
online product evaluations	0.0000000000	0.0	0.0	0.0	1.58496250072	False
evaluations ? banking	0.0000000000	0.0	0.0	0.0	1.58496250072	False
banking and finance	0.0000000000	0.0	0.0	0.0	1.58496250072	False
banking transactions credit	0.0000000000	0.0	0.0	0.0	1.58496250072	False
transactions credit card	0.0000000000	0.0	0.0	0.0	1.58496250072	False
